2000
3 0
2452 1383 2397 
1821 4959 1943 
4913 3730 2883 
2222 4291 973 
4018 4689 2261 
168 391 2849 
1619 4426 3958 
3283 228 3819 
3611 2664 1945 
316 496 3789 
53 3041 2271 
605 842 103 
917 4862 1368 
4277 3964 4052 
4508 4116 3074 
2759 379 3306 
4574 1074 819 
4751 4612 3092 
1087 3586 4779 
2975 2025 3187 
1621 2861 1289 
4708 1086 1005 
2098 4218 4565 
3556 4185 491 
571 4808 652 
1662 3362 4409 
3272 3948 62 
347 164 2093 
1624 2348 3312 
1950 2720 209 
869 1772 4882 
4693 1521 2350 
392 3153 4451 
192 806 2415 
3825 893 1257 
640 4424 4097 
4337 832 248 
3964 4220 2542 
4333 380 1726 
3760 4997 4781 
4862 4488 639 
2763 1437 1128 
1927 3124 2453 
267 2283 3741 
4032 1585 2190 
4573 4970 1560 
338 1542 3206 
4295 1937 2845 
1982 1455 3917 
977 4580 1007 
110 2450 4190 
1849 104 1871 
1777 180 1183 
4162 4976 1548 
60 1942 707 
2752 2257 4462 
1200 3853 3642 
1222 1230 2114 
3279 912 3392 
4863 3806 3632 
1907 2081 175 
489 4090 54 
1320 392 947 
2420 2694 2004 
1346 442 2100 
827 3159 3949 
345 2219 555 
4634 432 4168 
1508 3620 1205 
3419 4556 6 
1586 234 2575 
1208 4379 3972 
4296 1039 2795 
3087 4011 560 
787 4080 3633 
2673 1675 4073 
3648 4866 2877 
773 1087 4511 
1377 4509 757 
2950 4305 4230 
2785 4534 2018 
2203 1415 3610 
223 838 1645 
4392 3453 2230 
1408 4461 1647 
2003 2700 2147 
4641 4090 1189 
2934 1996 650 
1246 3252 803 
3561 2029 1204 
3691 2108 4445 
162 1114 1572 
4659 612 4236 
4465 631 3585 
1268 3353 134 
3590 1353 1937 
402 2987 4694 
4184 4508 4858 
2971 3291 1373 
1350 3771 3043 
988 2633 901 
4068 2439 4561 
2168 4202 4278 
4878 501 3031 
4960 2030 3985 
2272 4756 4282 
2782 3595 4046 
861 3939 3992 
4477 2229 1881 
1614 3936 3867 
1571 66 4524 
2273 4609 3222 
1233 4031 2362 
1180 641 1683 
2352 1274 4581 
1614 587 835 
589 2293 4037 
1774 4659 1186 
4412 4836 4553 
965 118 3736 
4877 3634 4673 
4574 2720 4901 
1519 3244 817 
4406 4600 3472 
3321 2953 1749 
3832 1819 18 
103 1300 696 
4700 987 4971 
1892 4011 3925 
2140 370 1114 
2743 3935 82 
2124 3340 965 
3160 947 3128 
350 3483 1635 
58 1370 1425 
4687 4001 4552 
4094 2748 901 
2632 1953 3287 
4990 1196 158 
310 3422 1300 
4446 3102 3028 
1587 4425 1711 
440 1686 3234 
1063 2803 1313 
3990 3634 4708 
3273 4467 3649 
1463 3101 166 
3647 4160 4833 
739 139 3975 
1619 1331 3669 
4012 2497 203 
1729 1001 1296 
499 4394 253 
1676 3526 3546 
4576 3465 2971 
1956 3479 2583 
3256 208 2101 
1245 302 4077 
4455 2460 4402 
2592 614 4263 
4432 4518 4038 
2751 475 3124 
606 984 606 
341 2988 1489 
1796 3455 2608 
181 4268 1036 
3625 3025 614 
2627 1550 2928 
1486 4424 33 
220 2373 2663 
2895 1523 83 
885 2110 2015 
974 3940 3683 
3127 704 237 
3426 4162 2908 
3698 3348 4496 
4600 3055 1853 
1236 4683 1314 
4623 540 1144 
3109 1148 1358 
3587 2284 4728 
2282 1949 407 
3814 1811 1652 
2466 2513 3753 
1818 3816 4264 
1668 909 4461 
220 536 4518 
4031 2470 3483 
2427 205 3761 
2337 1354 510 
1510 3234 3044 
1285 301 4006 
1385 3347 2124 
1836 3187 638 
3540 3941 3030 
2962 413 3294 
3699 2526 1083 
2989 3427 2674 
1699 495 3462 
3864 2235 3148 
587 2033 3778 
2730 408 3294 
4101 2937 3896 
1860 4580 2018 
257 3725 3494 
3440 2503 3239 
4540 4750 855 
3029 2060 1140 
2150 2746 4682 
1348 1150 285 
3817 652 974 
3834 348 2064 
955 4290 1037 
181 2325 1585 
710 4038 2025 
1220 1372 3737 
123 655 1647 
3971 4788 4214 
1837 2804 679 
1206 1886 1850 
902 2460 4182 
3845 4583 1886 
1158 3059 933 
2085 2894 4141 
1745 1665 4815 
1868 1943 1939 
1570 3225 2279 
4631 4636 3965 
3644 1353 3693 
2155 4587 1797 
4346 2229 3020 
2049 1199 4055 
717 2325 4900 
1248 675 4696 
4962 897 3582 
1071 277 4268 
1318 4754 2899 
1236 692 351 
2721 4587 3813 
1444 3958 2148 
3592 1013 1075 
3036 745 2380 
2352 387 117 
3636 1157 4127 
4994 1644 4054 
1867 1975 3306 
3869 2281 3462 
2326 354 4949 
2878 3258 2795 
1387 394 3332 
3165 3095 136 
4237 703 3791 
2674 2331 2901 
631 2181 2121 
3220 3932 1897 
3077 2607 3333 
4452 89 2224 
3558 1387 3828 
3928 4310 4696 
2041 349 3364 
3635 888 4317 
566 2291 4776 
4786 929 1290 
1703 3549 160 
3485 2692 4767 
890 1583 962 
4127 3510 4935 
4457 4310 4107 
886 2983 4786 
3831 2241 1410 
4754 2326 3266 
1949 395 1221 
3928 558 2325 
4468 312 2761 
2757 2224 3318 
1732 4952 1309 
381 2313 1136 
3569 1039 3920 
1495 4723 4809 
2444 3489 4555 
3922 827 919 
422 1240 3005 
559 4359 1872 
4046 3908 4386 
760 3478 4345 
4699 878 2219 
596 4664 4447 
644 2114 3374 
702 1024 79 
1783 4034 353 
2078 2158 1508 
994 2649 2848 
4863 4836 581 
2859 248 4842 
1484 4289 795 
1864 4436 4232 
4027 4752 4999 
401 4395 649 
90 1086 4456 
3056 3818 4899 
1727 589 1737 
3340 4339 3174 
4495 3006 3784 
3058 4997 4653 
4461 1102 1025 
2864 2921 4111 
2559 2654 4859 
2447 2746 3098 
845 528 4032 
3772 137 4265 
4244 647 1046 
2592 4636 817 
3269 3050 4341 
3823 1660 495 
1434 1661 3484 
2947 3734 3511 
256 3382 3703 
4505 3510 3237 
3969 1030 4025 
4682 10 3687 
803 4302 189 
1537 4999 806 
1156 3421 1393 
324 968 2869 
61 2065 4352 
3105 527 2650 
3965 4857 2732 
2940 1142 224 
3545 2005 634 
604 3983 305 
1601 2365 3208 
2214 2425 965 
323 4973 735 
516 4302 2885 
759 4317 3866 
2712 2239 4931 
1404 1279 1118 
17 2057 3711 
4683 2786 56 
4710 4178 2957 
4506 1896 1119 
4842 9 443 
3377 3895 2318 
1219 3611 651 
1640 3006 472 
3234 4538 735 
2483 4908 4640 
1037 3957 2989 
4779 4253 3382 
1635 1434 197 
4113 181 634 
3667 3494 4582 
1555 57 1678 
3804 2068 2327 
4193 2197 3433 
2649 4874 4868 
2227 2853 4243 
4445 266 3021 
3269 1197 2771 
4533 3937 2550 
2100 2109 2434 
1258 1306 2767 
4975 1080 4546 
342 2478 4085 
2054 961 3620 
1063 4910 4807 
2185 2102 193 
1438 4554 407 
4543 4358 3742 
248 1750 287 
914 3979 2452 
1552 167 4277 
4675 671 4795 
4784 1704 3181 
811 2385 1885 
2036 1711 4667 
2024 4029 3920 
3439 147 378 
909 2755 1904 
2246 1926 4455 
1696 1546 4458 
1574 5000 3731 
626 4300 3231 
288 4194 587 
2748 718 4341 
3152 4678 1216 
2613 3689 831 
2428 377 659 
805 1060 2593 
2369 1589 3589 
2289 2758 3318 
2545 3471 4750 
2213 4001 1753 
2407 4676 1366 
2366 1404 4749 
2803 4592 346 
3467 2515 629 
1122 39 1246 
1526 3141 4446 
1117 1986 2069 
504 987 1894 
3374 2654 3856 
4679 3813 75 
1761 3328 3569 
2399 470 1294 
684 2456 1052 
4689 3738 3228 
239 2234 2983 
2135 4957 3458 
1037 1642 122 
3450 1358 1314 
2326 923 2475 
890 250 4610 
4822 4098 2264 
2950 2930 1163 
1019 2831 1298 
901 511 2527 
1816 1847 2214 
4260 4180 897 
3715 221 4037 
2607 3424 2246 
828 1043 3368 
1808 1299 3560 
215 214 1255 
3191 4479 1216 
4320 3833 4338 
4786 2514 4841 
841 791 196 
3164 1460 277 
4523 4418 2143 
4609 2458 4975 
1857 1057 3942 
3580 4261 1457 
1996 745 236 
3893 3199 893 
672 1707 896 
3477 4750 4326 
3916 2108 3495 
1297 3053 1213 
4012 1230 4649 
1079 131 4136 
1208 2620 4132 
4947 638 30 
1868 3576 1798 
1421 1389 3522 
4212 1203 1304 
2242 3742 2134 
4604 1019 3420 
4892 3500 517 
3114 4651 236 
3907 256 3076 
3792 3309 4776 
2920 2239 4259 
1658 2962 4646 
3686 1958 410 
3523 679 1637 
3719 3154 664 
2772 3608 160 
2152 563 913 
930 1795 36 
4816 485 4334 
120 4603 984 
1037 4469 894 
3784 4498 796 
4267 4036 605 
3471 1665 1169 
1210 3043 1618 
289 2200 961 
4353 3698 33 
1816 3214 847 
3314 4662 134 
3449 4431 4985 
2756 1451 4672 
2230 3743 4838 
4246 4837 4223 
1314 2716 342 
2838 1753 1253 
2608 4808 3668 
3430 2988 2159 
3930 1130 3638 
1681 4855 4055 
3901 2051 1278 
792 1023 3666 
1994 3587 485 
2507 2529 419 
1854 4061 3260 
2706 1428 4268 
2452 4905 4146 
4412 773 706 
1454 4233 1822 
14 3518 1552 
3897 2576 1129 
2122 2285 3177 
1883 2498 2927 
1178 1356 4380 
35 2751 3900 
4416 587 1692 
4848 2423 431 
3490 3245 577 
3720 4382 3830 
4349 2789 24 
4018 71 2714 
1071 4905 4292 
3973 3541 3738 
2654 703 1475 
2629 295 3739 
2631 4359 2168 
1107 3873 2489 
228 415 1548 
2080 868 3146 
1885 2306 616 
1422 4586 2670 
4124 4669 3039 
2900 346 1068 
2670 2885 4745 
3803 4403 2381 
1 2 2 1 1 2 1 2 1 2 1 2 1 1 2 2 2 2 2 2 1 1 1 1 2 1 2 1 2 1 1 2 1 2 2 2 1 2 1 2 1 1 1 1 1 1 2 2 2 2 1 1 2 2 1 1 1 1 2 1 1 2 2 1 1 2 2 2 2 1 2 2 1 2 2 2 1 2 2 1 2 2 1 1 2 2 2 2 1 2 1 1 2 1 2 2 1 1 1 2 2 1 2 1 2 2 2 1 2 1 2 1 1 1 1 2 2 1 2 1 1 1 1 2 2 1 2 2 1 1 2 1 1 2 2 2 1 1 1 1 1 1 2 2 2 1 2 2 1 2 1 2 2 1 1 2 2 2 1 1 1 2 2 2 2 2 2 1 1 2 1 2 1 2 1 2 2 2 1 1 1 2 1 2 1 1 2 1 2 1 1 1 1 2 2 2 2 1 1 2 1 1 1 1 1 1 1 1 1 2 2 1 1 2 1 1 2 1 1 2 1 2 1 1 2 2 2 2 1 2 2 2 2 2 1 1 1 1 1 2 1 2 2 1 2 1 2 2 2 2 2 2 2 1 1 2 1 1 2 1 2 1 2 1 1 2 1 1 2 2 1 1 2 2 1 1 1 1 1 1 2 1 2 2 1 1 2 2 1 1 1 2 2 2 2 1 1 1 2 2 1 2 1 2 1 2 2 1 2 2 2 1 2 2 1 1 2 2 1 1 2 2 2 2 1 2 2 2 2 2 1 2 1 1 1 2 1 1 1 1 1 2 2 1 1 2 2 1 1 2 2 2 1 1 1 2 1 2 1 2 1 1 2 2 1 1 1 2 1 1 2 1 1 1 2 1 2 1 2 1 1 1 2 2 2 1 1 1 1 2 2 2 2 2 1 1 1 2 2 2 2 2 2 2 1 1 1 1 2 1 2 2 2 1 1 2 1 1 2 2 2 1 2 1 2 1 2 2 1 2 2 1 1 2 1 1 1 1 2 1 1 1 2 1 2 2 1 2 2 1 1 1 1 2 1 2 2 1 2 2 2 1 1 1 2 2 1 1 2 1 2 1 1 2 2 2 2 2 2 2 1 2 2 2 1 2 1 1 2 1 2 2 1 2 1 2 2 2 1 1 2 2 2 1 1 2 2 2 2 2 2 1 1 2 2 1 2 2 1 2 2 2 2 2 2 2 1 2 2 2 2 1 2 2 1 1 2 1 1 2 2 1 1 1 1 2 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 2 1 1 2 1 2 2 2 2 2 1 1 1 2 2 2 2 1 1 2 2 1 1 1 1 2 2 2 1 1 2 2 2 1 2 2 1 2 1 2 2 2 2 2 2 2 1 2 1 2 1 2 1 1 2 1 1 1 1 2 2 2 2 2 1 1 2 2 1 2 2 1 1 1 1 1 1 2 2 2 2 1 2 1 2 2 2 2 2 2 1 1 1 2 1 1 2 2 1 2 1 1 1 1 2 1 1 1 2 2 1 2 1 2 2 2 1 1 1 1 1 1 2 2 2 1 1 2 1 2 1 2 2 2 1 2 1 2 2 1 1 1 2 2 1 2 1 2 1 2 1 1 1 1 2 1 1 1 2 2 1 2 1 1 1 2 1 2 1 2 2 1 2 1 1 2 1 2 1 1 1 2 2 2 1 2 2 2 2 2 2 1 1 2 1 1 2 2 1 2 2 2 2 2 1 1 1 2 2 1 2 2 1 1 2 1 2 1 2 2 1 2 1 2 2 1 1 1 2 1 2 1 2 2 2 1 2 1 2 2 1 2 1 2 2 1 1 1 2 2 1 1 1 1 1 1 1 2 2 1 1 2 2 2 1 2 2 1 2 2 2 1 2 2 2 1 2 2 2 1 2 1 1 1 1 1 1 2 2 1 2 1 2 2 1 1 1 2 2 2 1 2 2 2 1 1 1 1 2 1 1 1 2 1 1 2 1 1 1 1 1 2 1 2 1 2 2 2 1 2 2 1 2 2 1 1 2 1 1 2 1 1 2 2 2 1 2 1 1 1 2 1 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 2 1 2 2 2 1 1 2 2 2 2 1 1 1 2 1 1 1 2 2 2 1 1 2 1 1 2 1 2 1 1 2 1 2 2 2 1 2 2 1 1 2 1 2 2 2 1 2 2 1 1 2 2 2 2 2 2 2 1 2 2 1 1 2 1 2 2 1 1 2 1 2 2 2 2 1 2 2 1 1 1 1 2 2 1 1 1 2 1 1 1 2 2 2 1 1 1 1 2 2 2 1 1 1 1 2 2 1 2 1 1 1 2 2 2 2 2 2 1 2 2 2 2 2 1 1 1 1 2 2 2 2 1 1 2 2 1 1 2 1 1 2 2 2 2 1 1 1 1 1 2 1 1 1 1 2 2 2 2 2 1 1 2 2 2 2 2 1 1 1 1 2 1 2 2 2 2 1 2 1 2 1 2 1 1 2 1 2 2 1 1 1 1 2 2 2 1 2 2 2 1 1 1 1 2 1 2 2 1 2 1 1 2 1 2 1 2 1 2 2 2 2 1 1 2 1 2 1 2 2 2 2 2 1 2 2 1 1 2 1 2 1 1 2 2 2 1 2 1 1 1 1 2 1 2 1 2 1 1 2 2 1 2 1 1 2 2 2 2 1 1 1 1 2 2 1 2 2 1 1 1 1 1 1 1 2 2 1 2 2 2 2 1 1 1 2 2 2 1 1 1 2 2 2 1 2 2 2 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 2 1 1 1 2 1 1 2 2 2 2 1 1 2 1 1 1 1 1 1 1 1 2 1 2 2 2 1 2 1 2 2 1 2 1 1 1 1 2 1 1 2 1 1 1 2 2 1 1 2 2 1 2 2 1 2 1 2 2 1 1 1 1 1 2 2 1 2 1 1 1 2 1 2 2 1 1 2 2 1 2 2 1 1 1 2 2 1 2 2 1 2 2 2 2 1 2 2 2 2 1 1 2 1 1 1 1 2 1 1 1 2 2 1 2 2 1 2 2 2 1 1 1 2 1 1 1 2 2 1 2 2 2 1 2 2 2 2 2 1 1 2 2 2 1 1 1 1 1 1 1 1 2 1 1 1 2 2 2 1 2 2 1 2 1 1 1 2 1 2 1 1 1 2 1 2 2 2 2 1 1 2 2 2 2 1 1 1 1 2 1 2 2 2 2 2 2 1 1 1 2 2 1 2 1 1 1 2 1 1 1 2 2 1 1 2 1 2 1 2 1 2 2 1 1 1 2 2 2 1 2 1 1 2 2 1 1 2 2 1 1 2 2 1 1 2 1 1 2 1 1 2 2 1 1 2 1 2 1 2 1 1 1 1 2 1 1 2 1 1 2 2 1 2 2 1 1 2 1 1 2 2 2 2 2 1 2 2 2 2 1 1 1 1 1 2 2 2 1 1 1 1 2 2 1 2 1 1 1 1 2 1 2 1 1 2 2 1 2 1 2 1 1 2 1 1 1 2 2 2 1 1 2 1 1 2 2 1 2 1 1 2 2 2 1 1 2 1 2 1 1 2 2 2 1 2 1 1 1 1 1 1 2 1 1 1 2 1 1 2 2 1 1 1 2 2 2 2 2 1 1 2 1 2 2 2 1 1 1 2 1 1 2 1 1 1 2 1 1 2 1 1 2 1 1 2 2 1 1 1 1 2 2 1 2 2 2 1 2 1 1 2 1 1 1 2 1 1 1 2 2 2 1 2 2 1 1 2 1 2 1 2 2 2 1 1 2 2 2 1 2 2 1 1 2 2 2 1 2 1 2 2 1 1 1 1 1 2 2 1 2 1 2 2 2 2 2 2 2 1 1 2 1 2 2 1 2 2 1 1 2 1 2 2 2 2 1 1 2 2 2 1 2 2 1 1 1 1 1 2 1 2 2 2 2 2 2 1 1 2 1 1 1 1 2 1 1 1 2 1 2 1 1 1 2 2 1 2 1 2 1 2 2 2 2 1 1 2 2 1 1 1 1 1 2 2 2 1 2 2 2 2 2 1 1 2 2 2 2 2 2 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 2 2 1 2 2 2 2 1 1 1 1 2 1 1 1 1 2 2 2 2 1 1 2 1 2 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 1 2 1 2 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 2 1 1 2 2 2 1 1 2 2 1 1 1 2 2 1 2 2 2 2 1 2 2 1 2 1 1 1 2 1 2 2 1 1 1 1 2 2 2 2 1 2 1 1 2 1 1 1 1 2 1 1 2 2 2 2 2 2 1 1 2 2 2 2 1 2 1 1 1 2 1 2 2 1 1 1 1 1 2 1 2 1 2 2 2 1 1 2 2 1 2 1 1 2 2 1 1 1
1000 4000
1000 4000
1000 4000
